,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Auckland,-36.866667,174.76666699999998,New Zealand,NZ,,,1377200,395982
1,Wellington,-41.3,174.783333,New Zealand,NZ,,primary,393400,393400
2,Christchurch City,-43.533333,172.633333,New Zealand,NZ,Canterbury,,363200,363200
3,Waitakere,-36.85,174.55,New Zealand,NZ,,,208100,208100
4,Northcote,-36.815278,174.745833,New Zealand,NZ,,,205605,205605
5,Hamilton,-37.783333,175.283333,New Zealand,NZ,,,148200,148200
6,Tauranga,-37.686111,176.166667,New Zealand,NZ,,,121500,121500
7,Dunedin,-45.866667,170.5,New Zealand,NZ,Otago,,117700,117700
8,Lower Hutt,-41.216667,174.916667,New Zealand,NZ,,,102400,102400
9,Palmerston North,-40.35,175.616667,New Zealand,NZ,,,82400,82400
10,Nelson,-41.273459,173.282347,New Zealand,NZ,Nelson,,60800,60800
11,Napier,-39.483333,176.916667,New Zealand,NZ,,,57800,57800
12,Porirua Pa,-41.133333,174.833333,New Zealand,NZ,,,52500,52500
13,New Plymouth,-39.066666999999995,174.083333,New Zealand,NZ,,,52500,52500
14,Invercargill,-46.428681,168.361596,New Zealand,NZ,Southland,,49200,49200
15,Wanganui,-39.933333000000005,175.05,New Zealand,NZ,,,43200,43200
16,Gisborne,-38.653333,178.004167,New Zealand,NZ,,,34300,34300
17,Timaru,-44.398444,171.255194,New Zealand,NZ,Canterbury,,27200,27200
18,Pukekohe East,-37.2,174.95,New Zealand,NZ,,,26300,26300
19,Paraparaumu Beach,-40.9,174.98333300000002,New Zealand,NZ,,,25263,25263
20,Taupo,-38.683333000000005,176.083333,New Zealand,NZ,,,22600,22600
21,Masterton,-40.959722,175.6575,New Zealand,NZ,,,20200,20200
22,Levin,-40.633333,175.275,New Zealand,NZ,,,19550,19550
23,Whakatane,-37.983333,177.0,New Zealand,NZ,,,18700,18700
24,Tokoroa,-38.233333,175.866667,New Zealand,NZ,,,13350,13350
25,Hawera,-39.591667,174.283333,New Zealand,NZ,,,11100,11100
26,Greymouth,-42.451111,171.206778,New Zealand,NZ,West Coast,,10100,10100
27,Thames,-37.133333,175.533333,New Zealand,NZ,,,6756,6756
28,Kerikeri,-35.216667,173.966667,New Zealand,NZ,,,5856,5856
29,Wanaka,-44.709755,169.129417,New Zealand,NZ,Otago,,5037,5037
30,Westport,-41.752685,171.583402,New Zealand,NZ,West Coast,,3900,3900
31,Turangi,-39.0,175.933333,New Zealand,NZ,,,3240,3240
32,Hokitika,-42.717214,170.96371299999998,New Zealand,NZ,West Coast,,3078,3078
33,Waioruarangi,-42.4,173.683333,New Zealand,NZ,,,2172,2172
34,Te Anau,-45.414649,167.71567199999998,New Zealand,NZ,Southland,,1857,1857
35,Waitangi,-43.95,-176.533333,New Zealand,NZ,,,300,300
